Company,Ticker,Exchange,Stock Delisted,cik
Arm Holdings,ARM,NASDAQ,False,1973239.0
Amdocs,DOX,NASDAQ,False,1062579.0
Sezzle,SEZL,NASDAQ,False,1662991.0
Outbrain,OB,NASDAQ,False,1454938.0
Samsung,005930.KS,SEO,False,
LendingTree,TREE,NASDAQ,False,1434621.0
TaskUs,TASK,NASDAQ,False,1829864.0
New Work SE,NWSE.VI,VIE,False,
Skillz,SKLZ,NYSE,False,1801661.0
Arrival,ARVLF,OTCMKTS,False,
TrueCar,TRUE,NASDAQ,False,1327318.0
Adaptive Biotechnologies,ADPT,NASDAQ,False,1478320.0
Varonis,VRNS,NASDAQ,False,1361113.0
Intel,INTC,NASDAQ,False,50863.0
R8 Capital Investments,MODE.L,LSE,False,
Accolade,ACCD,NASDAQ,False,1481646.0
10X Genomics,TXG,NASDAQ,False,1770787.0
Marqeta,MQ,NASDAQ,False,1522540.0
Ericsson,ERIC-B.ST,SSO,False,
Proterra,PTRA,NASDAQ,True,
Coherent,COHR,NYSE,False,820318.0
Lightspeed Commerce,LSPD,NYSE,False,1823306.0
Boozt,BOK.F,FRA,False,
Xiaomi,1810.HK,HK,False,
Qualcomm,QCOM,NASDAQ,False,804328.0
Viant,DSP,NASDAQ,False,1828791.0
BuzzFeed,BZFD,NASDAQ,False,1828972.0
HashiCorp,HCP,NASDAQ,False,1720671.0
Bakkt,BKKT,NYSE,False,1820302.0
Elastic,ESTC,NYSE,False,1707753.0
Synlogic,SYBX,NASDAQ,False,1527599.0
Criteo,CRTO,NASDAQ,False,1576427.0
Ouster,OUST,NYSE,False,1816581.0
Wallbox,WBX,NYSE,False,1866501.0
Wejo,WEJO,NASDAQ,True,
Tesla,TSLA,NASDAQ,False,1318605.0
Lenovo,0992.HK,HK,False,
Fisker,FSRN,OTCMKTS,False,
Viasat,VSAT,NASDAQ,False,797721.0
Sprinklr,CXM,NYSE,False,1569345.0
View,VIEW,NASDAQ,True,1811856.0
Wix,WIX,NASDAQ,False,1576789.0
Impinj,PI,NASDAQ,False,1114995.0
Talis Biomedical,TLIS,NASDAQ,False,1584751.0
