Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,Job Positions Laid Off Desc,Job Positions Laid Off Specific,Reason Mentioned 1,Reason Mentioned 2,Reason Mentioned 3,Unprofitable,AI Mentioned,AI Relation,Expansion Mentioned,cik,Ticker,Exchange,Stock Delisted,Announced Post-Trading Hours,Stock Return On Closest Trading Date Post-Announcement (t),Stock Return 3 Days Before t,Stock Return 2 Days Before t,Stock Return 1 Day Before t,Stock Return 1 Day After t,Stock Return 2 Days After t,Stock Return 3 Days After t,List of Employees Laid Off
Pallaydyne AI,TRUE,Pittsburgh,Aerospace,150,11/14/2023,https://www.bizjournals.com/pittsburgh/inno/stories/profiles/2023/11/14/sarcos-robotics-to-close-pittsburgh-office.html,316,Post-IPO,United States,,,,Focus on AI software,Definite business realignment,Chase profitability,,TRUE,Pivot towards AI,FALSE,,PDYN,NASDAQ,FALSE,TRUE,0.085714318,-0.030909126,0.069418388,0.105263163,-0.027777768,0.037593948,0.01449274,
Markforged,TRUE,Boston,Manufacturing,,11/14/2023,https://www.bizjournals.com/boston/news/2023/11/14/markforged-layoffs-2023-macroeconomic-headwinds.html,347,Post-IPO,United States,,Across the board,,Macroeconomic conditions,Cut costs,,,FALSE,,FALSE,1816613,MKFG,NYSE,FALSE,FALSE,0.126315812,-0.016817609,0.047368439,-0.045226147,0.033878486,-0.102824816,0.120906741,
Chewy,TRUE,Miami,Retail,200,11/14/2023,https://techcrunch.com/2023/11/14/online-pet-goods-retailer-chewy-lays-off-200-employees/,451,Post-IPO,United States,,,"HR, recruiting, data and business intelligence, directors, management",Optimization,,,FALSE,FALSE,,TRUE,1766502,CHWY,NYSE,FALSE,FALSE,0.039155087,-0.051502144,0.003519341,-0.027555073,0.047595393,-0.055844697,0.028571412,
Cake Group,FALSE,Singapore,Crypto,50,11/14/2023,https://www.linkedin.com/posts/julianhosp_cake-group-ceos-message-to-employees-activity-7130117237218156545-oPjI/,,Unknown,Singapore,0.3,,,,,,,,,,,,,,,,,,,,,,
Halodoc,FALSE,Jakarta,Healthcare,,11/14/2023,https://www.techinasia.com/halodoc-lays-employees-pursue-sustainable-business-growth,245,Series D,India,,,,,,,,,,,,,,,,,,,,,,,
Ping Identity,TRUE,Denver,Security,,11/14/2023,https://www.bizjournals.com/denver/news/2023/11/14/ping-identity-layoffs-thoma-bravo.html,128,Acquired,United States,,,,,,,,,,,,,,,,,,,,,,,
Amazon,TRUE,Seattle,Retail,180,11/13/2023,https://www.cnbc.com/2023/11/13/amazon-cuts-more-than-180-jobs-in-gaming-division.html,108,Post-IPO,United States,,Gaming,,Definite business realignment,,,FALSE,FALSE,,TRUE,1018724,AMZN,NASDAQ,FALSE,FALSE,-0.006756765,-0.004414581,-0.010416636,0.02105257,0.022512145,-0.017832689,-0.002583765,
Bowery Farming,TRUE,New York City,Food,,11/10/2023,https://pitchbook.com/news/articles/indoor-farming-bowery-vc-valuation-layoffs-loans,626,Unknown,United States,,,,,,,,,,,,,,,,,,,,,,,
Carta,TRUE,SF Bay Area,HR,,11/9/2023,https://fortune.com/2023/11/09/exclusive-unicorn-carta-lays-off-another-round-of-employees/,1100,Series G,United States,,,,,,,,,,,,,,,,,,,,,,,
Commure,TRUE,SF Bay Area,Healthcare,,11/9/2023,https://www.businessinsider.com/commure-layoffs-healthcare-ai-merger-athelas-2023-12,1900,Unknown,United States,,,,,,,,,,,,,,,,,,,,,,,
OSlash,FALSE,Bengaluru,Other,,11/9/2023,https://inc42.com/buzz/accel-backed-saas-startup-oslash-to-shut-down-by-end-of-this-month/,7,Seed,India,1,,,,,,,,,,,,,,,,,,,,,,
Snap,TRUE,Los Angeles,Consumer,20,11/8/2023,https://www.theinformation.com/articles/snap-lays-off-product-managers-as-spiegel-revamps-workforce,4900,Post-IPO,United States,,Product,Product,Optimization,,,,FALSE,,FALSE,1564408,SNAP,NYSE,FALSE,TRUE,0.000890492,0.000932768,0.021435275,0.024634991,0.007117431,-0.001766741,0.075221187,
BigCommerce,TRUE,Austin,Retail,,11/8/2023,https://www.pymnts.com/news/ecommerce/2023/bigcommerce-cuts-staff-amid-ecommerce-headwinds/,224,Post-IPO,United States,0.07,Across the board,"Sales, marketing",Cut costs,Macroeconomic conditions,Definite business realignment,TRUE,FALSE,,FALSE,1626450,BIGC,NASDAQ,FALSE,TRUE,-0.060402683,-0.029145725,0.039337487,-0.109561791,0.002381007,0.009501179,0.092941172,
Google,TRUE,SF Bay Area,Consumer,,11/8/2023,https://www.theinformation.com/briefings/google-lays-off-some-user-support-staff,26,Post-IPO,United States,,,User support,,,,,FALSE,,FALSE,1652044,GOOG,NASDAQ,FALSE,TRUE,-0.011781416,0.008284182,0.007227032,0.006495481,0.017996837,-0.003132944,0.013394182,
Amazon,TRUE,Seattle,Retail,,11/8/2023,https://www.reuters.com/technology/amazon-says-cuts-jobs-music-streaming-unit-2023-11-08/,108,Post-IPO,United States,,Music,,Business realignment,,,FALSE,FALSE,,TRUE,1018724,AMZN,NASDAQ,FALSE,FALSE,-0.004414581,0.003838624,0.008225103,0.021253765,-0.010416636,0.02105257,-0.006756765,
CloudKitchens,TRUE,Los Angeles,Real Estate,,11/8/2023,https://www.businessinsider.com/travis-kalanick-cloudkitchens-startup-cuts-jobs-2023-11,1300,Unknown,United States,,,,,,,,,,,,,,,,,,,,,,,
Nextdoor,TRUE,SF Bay Area,Consumer,,11/7/2023,https://investors.nextdoor.com/news/news-details/2023/Nextdoor-Reports-Third-Quarter-2023-Results/,736,Post-IPO,United States,0.25,,,Cut costs,,,TRUE,TRUE,Utilizing AI in pre-existing services,FALSE,1846069,KIND,NYSE,FALSE,TRUE,-0.170329699,0.010928951,-0.054054066,0.04000003,-0.046357572,-0.013888958,0.119718367,https://docs.google.com/spreadsheets/d/e/2PACX-1vQb4VFkL-FC5XiNI45fBWzYLnP4cyBvOC0KUNG8GZV4nB9wc1_0RFuzPv8u75bQ6I_blsuiwtGLLBkm/pubhtml?gid=0&single=True
Zillow,TRUE,Seattle,Real Estate,23,11/7/2023,https://www.realestatenews.com/2023/11/07/zillow-confirms-layoffs-affecting-a-small-number-of-roles,97,Post-IPO,United States,,Recruiting,Recruiting,Restructuring,,,TRUE,FALSE,,FALSE,1617640,Z,NASDAQ,FALSE,,0.024252161,-0.0263302,0.061690102,-0.015388645,-0.006051027,-0.042879804,0.014933654,
Oportun,TRUE,SF Bay Area,Finance,185,11/7/2023,https://finance.yahoo.com/news/oportun-lay-off-18-corporate-021807823.html,766,Post-IPO,United States,0.07,,,Macroeconomic conditions,Cut costs,,,TRUE,Part of company product,FALSE,1538716,OPRT,NASDAQ,FALSE,FALSE,-0.489690732,0.010256401,0.035533002,-0.049019562,-0.131313165,0.011627896,-0.038314141,
Zeus Living,TRUE,SF Bay Area,Real Estate,,11/7/2023,https://www.theinformation.com/articles/airbnb-backed-real-estate-startup-zeus-living-to-shut-down,151,Series C,United States,1,,,,,,,,,,,,,,,,,,,,,,
Ava Labs,TRUE,New York City,Crypto,,11/6/2023,https://decrypt.co/204581/ava-labs-employees-report-layoffs-many-people-affected,640,Unknown,United States,0.12,,,,,,,,,,,,,,,,,,,,,,
Homie,TRUE,Salt Lake City,Real Estate,,11/6/2023,https://www.sltrib.com/news/business/2023/11/06/utah-grown-homie-vowed-disrupt/,35,Series B,United States,,,,,,,,,,,,,,,,,,,,,,,
Moore Threads,FALSE,Beijing,Hardware,,11/6/2023,https://www.bloomberg.com/news/articles/2023-11-07/china-ai-chipmaker-moore-threads-cuts-jobs-after-us-blacklisting?embedded-checkout=True,,Series B,China,,,,,,,,,,,,,,,,,,,,,,,
Pico Interactive,TRUE,SF Bay Area,Other,,11/6/2023,https://www.uploadvr.com/major-pico-layoffs/,62,Acquired,United States,,,,,,,,,,,,,,,,,,,,,,,
NIO,FALSE,Shanghai,Transportation,,11/3/2023,https://www.bloomberg.com/news/articles/2023-11-03/chinese-ev-maker-nio-to-cut-10-of-staff-positions-and-may-spin-off-businesses#xj4y7vzkg,7200,Post-IPO,China,0.1,,,Cut costs,Price war,Competition,TRUE,FALSE,,FALSE,1736541,NIO,NYSE,FALSE,FALSE,0.056482617,-0.029255291,0.020547892,0.045637606,-0.031591709,-0.010037632,0.003802308,
F5,TRUE,Seattle,Security,120,11/3/2023,https://www.geekwire.com/2023/seattle-cloud-giant-f5-lays-off-120-employees/,,Post-IPO,United States,0.02,,,Business realignment,Macroeconomic conditions,Geopolitical conflict,FALSE,TRUE,,FALSE,1048695,FFIV,NASDAQ,FALSE,FALSE,0.007915266,0.015882557,0.002176937,0.006253271,0.002920541,0.010224564,-0.001729577,
OpenSea,TRUE,New York City,Crypto,,11/3/2023,https://decrypt.co/204371/opensea-slashes-nft-marketplace-staff-50-layoffs,427,Series C,United States,0.5,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,TRUE,Los Angeles,Food,65,11/2/2023,https://investors.beyondmeat.com/news-releases/news-release-details/beyond-meatr-provides-select-third-quarter-financial-results,122,Post-IPO,United States,0.08,Non-production,,Lower demand,Cut costs,,TRUE,FALSE,,FALSE,1655210,BYND,NASDAQ,FALSE,FALSE,0.184433195,-0.015075323,0.015306067,-0.010050242,-0.001428604,-0.015736718,0.013081348,
Viasat,TRUE,San Diego,Other,800,11/2/2023,https://news.bloomberglaw.com/bankruptcy-law/viasat-to-cut-global-workforce-by-approximately-10,366,Post-IPO,United States,0.1,Across the board,,Post-acquisition restructuring,,,,FALSE,,TRUE,797721,VSAT,NASDAQ,FALSE,FALSE,0.073738015,0.007730502,0.010410988,-0.04392632,0.045958738,-0.077272669,-0.035577428,
OpenSpace,TRUE,SF Bay Area,Construction,,11/2/2023,https://www.linkedin.com/posts/jeevan_i-wanted-to-share-with-our-customers-partners-activity-7125890673840394240-QmO9/,200,Series D,United States,,,,,,,,,,,,,,,,,,,,,,,
Orchard,TRUE,New York City,Real Estate,,11/2/2023,https://www.linkedin.com/feed/update/urn:li:activity:7125905764115722241/,472,Series D,United States,,,,,,,,,,,,,,,,,,,,,,,
Informatica,TRUE,SF Bay Area,Data,545,11/1/2023,https://www.barrons.com/articles/informatica-buyback-earnings-6cc15b80,,Post-IPO,United States,0.1,,,Definite business realignment,,,FALSE,FALSE,,FALSE,1868778,INFA,NYSE,FALSE,TRUE,0.178496874,-0.012041861,0.016428164,-0.001042777,0.039858265,-0.030238462,0.01449275,
Sportradar,FALSE,St. Gallen,Data,,11/1/2023,https://www.sportspromedia.com/news/sportradar-job-cuts-sports-data/?zephr_sso_ott=VfONzi,84,Post-IPO,Switzerland,0.1,,,Chase profitability,Business realignment,Cut costs,FALSE,FALSE,,FALSE,1836470,SRAD,NASDAQ,FALSE,FALSE,0.144444447,0.006857191,0.002270091,-0.082672656,0.043149903,-0.035160305,0.02786712,
Splunk,TRUE,SF Bay Area,Data,500,11/1/2023,https://www.cnbc.com/2023/11/01/splunk-layoffs-7percent-of-workforce-to-be-cut-ahead-of-cisco-acquisition.html,2400,Post-IPO,United States,0.07,,,Macroeconomic conditions,,,TRUE,FALSE,,FALSE,1353283,SPLK,NASDAQ,TRUE,FALSE,,,,,,,,
Faire,TRUE,SF Bay Area,Retail,250,11/1/2023,https://www.businessinsider.com/wholesale-startup-faire-lays-off-another-250-employees-2023-11,1700,Series G,United States,0.2,,,,,,,,,,,,,,,,,,,,,,
Sana Benefits,TRUE,Austin,HR,73,11/1/2023,https://www.sanabenefits.com/blog/changes-at-sana/,106,Series B,United States,0.5,,,,,,,,,,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1Ikq_JMODuAWr0UjLqMqhGM7jZrcCJSyLa8Qza5eMw9Y/edit#gid=1860992057
Olive,TRUE,Columbus,Healthcare,,10/31/2023,https://www.axios.com/pro/health-tech-deals/2023/10/31/olive-ai-is-shutting-down,856,Series H,United States,1,,,,,,,,,,,,,,,,,,,,,,
StepStone,FALSE,Berlin,Recruiting,215,10/30/2023,https://aimgroup.com/2023/10/30/recruitment-giant-stepstone-lays-off-more-than-200-people/,,Acquired,Germany,0.05,,,,,,,,,,,,,,,,,,,,,,
Hubilo,TRUE,SF Bay Area,Other,50,10/30/2023,https://meetings.skift.com/hubilo-lays-off-at-least-50-staffers-hints-at-desperate-times-for-virtual-platforms/?utm_content=270020146&utm_medium=social&utm_source=linkedin&hss_channel=lcp-6921677,153,Series B,United States,,,,,,,,,,,,,,,,,,,,,,,
