Locations,Count,Country,State,State ID,County,County Fips,lat,lng,AI Exposure - State,AI Exposure - County,Population - City,Density - City
Charleston,2,United States,South Carolina,SC,Charleston,45019,32.8168,-79.9687,0.1655533,0.4847376,706884,503.3
Haifa,2,Israel,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Bucharest,2,Romania,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Accra,2,Ghana,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Lexington,2,United States,Kentucky,KY,Fayette,21067,38.0423,-84.4587,0.4900968,0.3701144,321276,437
Houston,2,United States,Texas,TX,Harris,48201,29.786,-95.3885,0.9305078,0.8219143,5970127,1384
Zug,2,Switzerland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Nashua,2,United States,New Hampshire,NH,Hillsborough,12057,42.7491,-71.491,0.9080961,1.07121,245209,1138.8
Madison,2,United States,Wisconsin,WI,Dane,55025,43.0822,-89.393,0.7248446,1.555875,451652,1268.3
Wellington,2,New Zealand,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
New Haven,2,United States,Connecticut,CT,South Central Connecticut,9170,41.3113,-72.9246,1.154729,1.227185,565572,2804.1
Karlsruhe,2,Germany,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Wilmington,2,United States,North Carolina,NC,New Hanover,37129,34.2099,-77.8866,0.737784,0.1449302,268625,878.3
Durham,2,United States,North Carolina,NC,Durham,37063,35.9792,-78.9022,0.737784,1.553184,399616,950.8
Grand Rapids,2,United States,Michigan,MI,Kent,26081,42.9619,-85.6562,0.6779525,0.3915974,609023,1708.2
Bend,2,United States,Oregon,OR,Deschutes,41017,44.0563,-121.3095,0.7985942,0.3982899,111774,1108.2
Guadalajara,2,Mexico,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Cairo,2,Egypt,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
San Luis Obispo,2,United States,California,CA,San Luis Obispo,6079,35.2669,-120.669,1.028286,-0.1660248,47529,1362.5
Jerusalem,2,Israel,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Bristol,2,United Kingdom,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Ho Chi Minh City,2,Vietnam,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Lahore,2,Pakistan,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Spokane,2,United States,Washington,WA,Spokane,53063,47.6671,-117.433,1.08479,0.9175941,456219,1279.8
